geopoint,count
"33.8768403, -118.2056244",16
"33.7826208, -118.1622607",16
"33.7871562, -118.1910896",16
"33.7898666, -118.1796068",16
"33.7869216, -118.167336",16
"33.8592985, -118.1046737",16
"33.7989861, -118.1852385",16
"33.8746754, -118.1826302",15
"33.8743797, -118.1791202",15
"33.8511733, -118.1825488",15
"33.8290769, -118.1794906",15
"33.7826035, -118.1676517",15
"33.8242056, -118.1965873",15
"33.7644867, -118.1684263",15
"33.8007863, -118.2143687",15
"33.7789752, -118.1709214",15
"33.7862248, -118.1633188",15
"33.7880494, -118.1866858",15
"33.7774409, -118.2028305",15
"33.8242212, -118.1943313",15
"33.7528832, -118.0866199",15
"33.8583483, -118.0647871",15
"33.782348, -118.1478799",15
"33.7537496, -118.0906996",15
"33.79368720000001, -118.1870385",15
"33.8638641, -118.181797",15
"33.8619595, -118.1773043",15
"33.8549875, -118.1934587",15
"33.8601512, -118.1744299",15
"33.8543545, -118.1790948",15
"33.84791, -118.0766751",15
"33.8471507, -118.1934701",15
"33.7962258, -118.1359098",15
"33.7789799, -118.1963506",15
"33.8563936, -118.1827307",15
"33.8449257, -118.1409751",15
"33.8487616, -118.1980605",15
"33.8322409, -118.1655497",15
"33.8515279, -118.1714025",15
"33.8023946, -118.1847844",15
"33.7813924, -118.1950649",15
"33.8154351, -118.1988625",15
"33.8767815, -118.1769279",15
"33.7880509, -118.1950967",15
"33.8504744, -118.1936361",15
"33.8470131, -118.1676141",14
"33.7791565, -118.1760129",14
"33.810501, -118.0991267",14
"33.7684834, -118.1933559",14
"33.8757052, -118.2004619",14
"33.7964109, -118.1248632",14
"33.7789651, -118.1524148",14
"33.8743467, -118.2028352",14
"33.8307528, -118.1247341",14
"33.8176661, -118.0781202",14
"33.8052063, -118.0990898",14
"33.7889816, -118.1207944",14
"33.8249686, -118.106014",14
"33.8044492, -118.2153909",14
"33.7789862, -118.1534984",14
"33.7936241, -118.1993904",14
"33.8772923, -118.183915",14
"33.863295, -118.0565802",14
"33.7799418, -118.2037409",14
"33.8535366, -118.1825909",14
"33.808011, -118.1923877",14
"33.7807454, -118.1643953",14
"33.7717153, -118.1676819",14
"33.8720719, -118.1546083",14
"33.869957, -118.0421088",14
"33.8742039, -118.1555746",14
"33.8066975, -118.1241089",14
"33.840856, -118.1914453",14
"33.7789678, -118.1963571",14
"33.7880534, -118.1963742",14
"33.774979, -118.1351588",14
"33.7533108, -118.1324114",14
"33.7777481, -118.2006138",14
"33.778863, -118.1805306",14
"33.7935093, -118.1774167",14
"33.8027316, -118.1821623",14
"33.8288025, -118.0873521",14
"33.8027184, -118.2174525",14
"33.7789674, -118.1736336",14
"33.7971177, -118.1719973",14
"33.8543482, -118.1772499",13
"33.8810322, -118.1601",13
"33.7735323, -118.163843",13
"33.7420745, -118.1883076",13
"33.799097, -118.1880416",13
"33.7789902, -118.1950695",13
"33.7953172, -118.178528",13
"33.8043164, -118.1894505",13
"33.8323621, -118.1250933",13
"33.7791895, -118.1555363",13
"33.7826065, -118.1867049",13
"33.7789736, -118.1775378",13
"33.7826014, -118.180699",13
"33.7885713, -118.1361091",13
"33.7773212, -118.167313",13
"33.7829148, -118.1652834",13
"33.7917434, -118.1974135",13
"33.8292612, -118.1846958",13
"33.7754652, -118.192202",13
"33.7836072, -118.1969724",13
"33.8520662, -118.0989271",13
"33.8113701, -118.2234229",13
"33.7715811, -118.1777235",13
"33.7822849, -118.1788917",13
"33.8581828, -118.1953974",13
"33.8557059, -118.1936188",13
"33.7621679, -118.196966",13
"33.8661015, -118.2027924",13
"33.7989363, -118.1763283",13
"33.7815311, -118.1977281",13
"33.81247010000001, -118.2210926",13
"33.7936627, -118.215178",13
"33.815278, -118.1784991",13
"33.811509, -118.2187782",13
"33.7741167, -118.1936514",13
"33.7845795, -118.1761722",13
"33.866659, -118.1682656",13
"33.865678, -118.1818753",13
"33.8709718, -118.1810999",13
"33.7843699, -118.1797301",13
"33.7574461, -118.113365",13
"33.8314545, -118.1697891",13
"33.7857694, -118.1866897",13
"33.8525787, -118.1846025",13
"33.7971531, -118.1916165",13
"33.8032739, -118.1443554",13
"33.8693631, -118.1663845",13
"33.797265, -118.2086871",13
"33.7690841, -118.1971124",13
"33.859486, -118.1615507",13
"33.8178954, -118.0742464",13
"33.7901485, -118.138669",13
"33.7919712, -118.1586484",13
"33.8680681, -118.0636169",13
"33.77895720000001, -118.1980407",13
"33.7789857, -118.1567601",13
"33.7789911, -118.1934664",13
"33.7900272, -118.1837492",13
"33.7985168, -118.0623233",13
"33.7695524, -118.1720108",13
"33.7825981, -118.1730926",13
"33.8134368, -118.1905774",13
"33.8098314, -118.1937121",13
"33.7838353, -118.1788553",13
"33.7845797, -118.1740015",13
"33.7953085, -118.1923967",13
"33.8544965, -118.1827764",13
"33.8605961, -118.1923925",13
"33.8600718, -118.1839964",13
"33.8464537, -118.1915809",13
"33.7997038, -118.1410485",13
"33.8007621, -118.2088979",13
"33.7896069, -118.1864855",13
"33.8288822, -118.1675194",12
"33.8579994, -118.1008083",12
"33.7826115, -118.1790548",12
"33.793476, -118.1948138",12
"33.8027271, -118.2151692",12
"33.7771799, -118.1556777",12
"33.8095936, -118.082624",12
"33.8267376, -118.0841995",12
"33.831302, -118.0879898",12
"33.8223965, -118.0694365",12
"33.8542835, -118.1965331",12
"33.8649803, -118.1930072",12
"33.7837083, -118.1017292",12
"33.8116265, -118.2024198",12
"33.8244852, -118.1846958",12
"33.7826053, -118.1763478",12
"33.8601017, -118.1684703",12
"33.8633472, -118.1898806",12
"33.8189526, -118.2009988",12
"33.7918583, -118.2101233",12
"33.790074, -118.1961716",12
"33.8016257, -118.0682762",12
"33.7782197, -118.1575591",12
"33.76166, -118.13794",12
"33.7697377, -118.1818945",12
"33.791689, -118.2034938",12
"33.7898551, -118.1817775",12
"33.8064166, -118.1923402",12
"33.7779945, -118.1790288",12
"33.8776118, -118.0739962",12
"33.8573976, -118.1761587",12
"33.7990824, -118.2195435",12
"33.7971354, -118.1905446",12
"33.8490293, -118.1882448",12
"33.79713270000001, -118.1797797",12
"33.7973198, -118.2021467",12
"33.87433830000001, -118.1893383",12
"33.7880846, -118.1707108",12
"33.7881895, -118.1673638",12
"33.7862347, -118.1963741",12
"33.7936244, -118.1731751",12
"33.85811899999999, -118.1976086",12
"33.8044614, -118.1678456",12
"33.778862, -118.1553992",12
"33.8470343, -118.1674258",12
"33.8013969, -118.1795944",12
"33.7872317, -118.1659088",12
"33.8812326, -118.1801708",12
"33.846661, -118.1866651",12
"33.7848607, -118.1866865",12
"33.868009, -118.185884",12
"33.8099595, -118.1353803",12
"33.8523028, -118.1794782",12
"33.8543651, -118.1734456",12
"33.8727983, -118.1751347",12
"33.7849848, -118.1970582",12
"33.7787528, -118.1741748",12
"33.7871309, -118.1892678",12
"33.8655014, -118.1849681",12
"33.7936559, -118.1921484",12
"33.8172425, -118.2119827",12
"33.7897549, -118.1850101",12
"33.8174708, -118.1847362",12
"33.781816, -118.17468",12
"33.7761588, -118.1739631",12
"33.8315688, -118.0927281",12
"33.8184911, -118.0919287",12
"33.8619431, -118.0482752",12
"33.7807842, -118.1736372",12
"33.8609928, -118.1987084",12
"33.8804957, -118.1839623",12
"33.8760646, -118.2079903",12
"33.7963296, -118.1181199",12
"33.7916968, -118.2006218",11
"33.7753442, -118.1676694",11
"33.7946763, -118.0965248",11
"33.8810529, -118.2046518",11
"33.7916879, -118.2121803",11
"33.876182, -118.1761434",11
"33.7815551, -118.1962355",11
"33.7835054, -118.1763442",11
"33.792138, -118.188935",11
"33.7936481, -118.1793942",11
"33.7936828, -118.185884",11
"33.7936974, -118.1890156",11
"33.8618297, -118.191754",11
"33.8655367, -118.1801132",11
"33.8765046, -118.0504462",11
"33.8619371, -118.1791662",11
"33.8227375, -118.2143006",11
"33.8543157, -118.1859397",11
"33.7924225, -118.1357205",11
"33.8562864, -118.1791243",11
"33.8171062, -118.1741269",11
"33.782595, -118.14153",11
"33.8571078, -118.0541908",11
"33.8707061, -118.1566013",11
"33.8116252, -118.2035007",11
"33.7971131, -118.1871827",11
"33.7550017, -118.1358258",11
"33.7106594, -117.8301865",11
"33.842783, -118.1845225",11
"33.8449606, -118.177087",11
"33.7682973, -118.1323322",11
"33.8188623, -118.1279387",11
"33.818875, -118.0927246",11
"33.8043432, -118.2100224",11
"33.8465661, -118.2002407",11
"33.8197825, -118.1064156",11
"33.7960219, -118.1252392",11
"33.8866435, -118.1050507",11
"33.8081706, -118.2075106",11
"33.7871445, -118.1741779",11
"33.7789711, -118.1751043",11
"33.7625858, -118.1480942",11
"33.7788586, -118.1992729",11
"33.7777601, -118.1876672",11
"33.8252051, -118.1208852",11
"33.7826082, -118.177967",11
"33.8665627, -118.0995642",11
"33.7766278, -118.1803685",11
"33.777304, -118.171754",11
"33.7862278, -118.1687299",11
"33.7858395, -118.1644052",11
"33.788044, -118.1647702",11
"33.77458379999999, -118.1777828",11
"33.7658141, -118.1828906",11
"33.7896413, -118.1621653",11
"33.7936526, -118.2109272",11
"33.7698416, -118.1910842",11
"33.8839422, -118.1067168",11
"33.79907439999999, -118.2174145",11
"33.799059, -118.1804684",11
"33.7825219, -118.1222289",11
"33.8776483, -118.1857965",11
"33.7989404, -118.1905437",10
"33.8681326, -118.1656376",10
"33.83190039999999, -118.1027122",10
"33.8773373, -118.1752335",10
"33.8686765, -118.1888545",10
"33.8775777, -118.193357",10
"33.8632207, -118.1882952",10
"33.8766726, -118.0634677",10
"33.8804617, -118.1598117",10
"33.8291168, -118.1716706",10
"33.8820082, -118.1855641",10
"33.7747998, -118.1767666",10
"33.8475812, -118.182288",10
"33.8175651, -118.0718116",10
"33.806198, -118.193705",10
"33.7777849, -118.1824194",10
"33.7809473, -118.1576846",10
"33.7814368, -118.1888431",10
"33.7523035, -118.1298234",10
"33.7921398, -118.2089455",10
"33.8187642, -118.0912177",10
"33.8419817, -118.1879386",10
"33.7680855, -118.1546128",10
"33.8709745, -118.1773503",10
"33.7939258, -118.176288",10
"33.852947, -118.0827361",10
"33.7676722, -118.1943613",10
"33.8032897, -118.1663003",10
"33.8014848, -118.0987516",10
"33.8241959, -118.1669859",10
"33.8085501, -118.0744627",10
"33.8044717, -118.1676859",10
"33.7974077, -118.2151527",10
"33.771719, -118.1720092",10
"33.7993578, -118.1098603",10
"33.7791148, -118.1609526",10
"34.0560553, -118.3308025",10
"33.7789905, -118.1589358",10
"33.77897910000001, -118.1892889",10
"33.7971185, -118.1892691",10
"33.780791, -118.1709127",10
"33.8031871, -118.0717802",10
"33.7789744, -118.1633264",10
"33.808202, -118.1956642",10
"33.8118358, -118.2119199",10
"33.8251136, -118.1244893",10
"33.7812864, -118.1847412",10
"33.8243929, -118.1739037",10
"33.7898623, -118.1806444",10
"33.77813340000001, -118.1706748",10
"33.7777685, -118.1937358",10
"33.8742137, -118.1969244",10
"33.8744535, -118.1860969",10
"33.7898725, -118.1828574",10
"33.8601126, -118.1791374",10
"33.8582742, -118.1897576",10
"33.8666927, -118.1922024",10
"33.7878394, -118.1394618",10
"33.8032861, -118.1079172",10
"33.85438600000001, -118.1678048",10
"33.77897850000001, -118.173076",10
"33.7863875, -118.1978643",10
"33.8171525, -118.1998678",10
"33.8463429, -118.1743395",10
"33.784493, -118.1771093",10
"33.8628136, -118.1939022",10
"33.8468324, -118.1848713",10
"33.8619694, -118.1847986",10
"33.8305215, -118.1199943",10
"33.7954609, -118.1902941",10
"33.8563818, -118.0548197",10
"33.784565, -118.154242",10
"33.8800083, -118.2004162",10
"33.8105747, -118.2189154",10
"33.806607, -118.1513636",10
"33.7841577, -118.1014815",10
"33.7729091, -118.1994671",10
"33.8727246, -118.0525177",10
"33.8324299, -118.1674748",10
"33.7717127, -118.1600653",10
"33.7914622, -118.1803622",10
"33.822319, -118.1192023",10
"33.7737441, -118.1186543",10
"33.7916693, -118.1892675",10
"33.7972784, -118.1847312",10
"33.8627431, -118.1943384",10
"33.7954676, -118.2073962",10
"33.85754960000001, -118.1954039",10
"33.8726305, -118.1576846",10
"33.8308071, -118.1890766",10
"33.8347355, -118.1690667",10
"33.837607, -118.184425",10
"33.7865665, -118.137421",10
"33.8450856, -118.1897538",10
"33.843179, -118.1976743",10
"33.8464112, -118.1961892",10
"33.7736007, -118.16742",10
"33.8764324, -118.1632638",10
"33.7871339, -118.1866914",10
"33.8191222, -118.1758938",10
"33.8188592, -118.1078217",10
"33.7871983, -118.1947701",10
"33.8742238, -118.2026551",10
"33.7683013, -118.1887403",10
"33.8310446, -118.1847872",10
"33.8495902, -118.1990145",10
"33.8105944, -118.1145185",10
"33.7789668, -118.1448032",10
"33.8301159, -118.207088",10
"33.7788173, -118.1805015",10
"33.824348, -118.1467345",10
"33.766083, -118.1875466",10
"33.8047935, -118.1889261",10
"33.8783249, -118.1567827",10
