,animal_id,animal_name
20548,A741582,KITTEN 2
20600,A695651,*METZ 6
20639,A708989,KTN2
20690,A740494,KITTEN 2
20712,A652974,3
20714,A652963,4
20716,A652975,4
20718,A652972,1
20720,A652960,1
20797,A740450,GRAY 1
20919,A660012,BABY 6
20928,A598994,KITTEN #1
21305,A724322,BARN OWL 1
21307,A724324,BARN OWL 3
21398,A741595,KITTEN 7
21400,A741596,KITTEN 8
21424,A681736,KITTEN3
21426,A681735,KITTEN2
21428,A681734,KITTEN1
21458,A741621,KITTEN 3
21468,A728290,MC 103
21507,A740862,KITTEN 1
21509,A740865,KITTEN 4
21529,A627854,627854
21670,A694422,KITTEN 3
21741,A707043,KITTEN 1
21743,A707045,KITTEN 3
21850,A634148,*THING 30
21851,A634129,*THING 12
21854,A634117,*THING 4
21856,A634134,*THING 16
21860,A634140,*THING 22
21862,A634152,*THING 23
21864,A634122,*THING 8
21866,A634141,*THING 24
21867,A634144,*THING 27
21869,A634115,*THING 3
21871,A634151,*THING 33
21873,A634146,*THING 28
21874,A634125,*THING 11
21875,A634135,*THING 17
21877,A634137,*THING 19
21883,A634121,*THING 7
22151,A684532,CHICKEN4
22153,A684547,CHICKEN19
22157,A684544,CHICKEN16
22214,A585517,*ROGUE 1
22265,A701204,PINK7
22267,A701205,PINK8
22269,A701202,PINK5
22424,A723321,*KITTEN5
22430,A738432,KITTEN 4
22753,A654796,A653896
22851,A675990,*KKATLANTIC43
22852,A665838,KKATLANTIC2
22856,A665841,KKATLANTIC5
22857,A665844,*KKATLANTIC8
22862,A670259,*KKATLANTIC17
22863,A670255,*KKATLANTIC14
22865,A670260,*KKATLANTIC18
22872,A671586,*KKATLANTIC20
22873,A671588,*KKATLANTIC22
22875,A740263,KITTEN 2
22877,A740264,KITTEN 3
22879,A740262,KITTEN 1
22881,A740265,KITTEN 4
23008,A673204,*BRAYTON 1
23010,A673206,*BRAYTON 3
23012,A673205,*BRAYTON 2
23047,A699703,PUP 7
23176,A680537,*CHICKEN 1
23208,A742598,OLIVE 4
23316,A697419,BIRD3
23318,A697418,BIRD2
23409,A742459,AQUARIUS 6
23411,A742457,AQUARIUS 4
23413,A742458,AQUARIUS 5
23439,A715566,3
23441,A715568,5
23442,A715567,4
23661,A653773,KITTEN 2
23669,A698899,STRAY 4
23723,A636289,636289 *G.Q.
23765,A733602,PUPPY3 ORANGE
23983,A694329,702MAINE-1
24028,A676471,KITTEN 5
24126,A681645,*PARK 5
24193,A704444,P4
24195,A704442,P2
24225,A676872,*DUCK2
24227,A676874,*DUCK4
24229,A676873,*DUCK3
24296,A740221,KITTEN 1
24325,A668596,KITTEN 1
24329,A668602,KITTEN 7
24385,A698052,*LIME 4
24387,A695776,*RUBY 7
24389,A695770,*RUBY 3
24393,A695774,*RUBY 5
24396,A695771,*RUBY 4
24405,A702620,TNR 601
24552,A671920,MOUSE 2
24560,A671919,MOUSE 1
24572,A672368,*KITTEN 1
24603,A698048,*LIME 1
24702,A628153,628153
24812,A717146,DOA KITTEN 2
24816,A727488,KERI 3
24983,A695596,DUCK 8
24988,A695593,DUCK 5
25019,A716222,P5
25020,A716218,P1
25086,A636481,636481*POINSETTIA
25267,A743552,1
25288,A632472,*24K
25316,A695460,*SANDRA 3
25459,A712411,PUPPY 6
25463,A712404,PUPPY 1
25465,A712409,PUPPY 4
25602,A744262,KITTEN1
25925,A702899,KITTEN 2
26014,A680819,POSSUM1
26016,A680822,POSSUM4
26408,A698156,STRAY 1
26410,A698159,STRAY 4
26882,A740422,KITTEN 2
26961,A698453,PUPPY MALTESE1
27107,A638459,#3
27109,A638460,#4
27111,A638457,#6
27113,A638462,#8
27115,A638461,#7
27117,A638454,#5
27152,A701199,PINK2
27154,A701200,PINK3
27224,A711770,CHERRY-6
27385,A736798,STRAY 1
27460,A738973,KITTEN 3
27477,A741676,KITTEN 1
27581,A644290,DOG #1 JASPER
27717,A680538,*CHICKEN 2
27837,A673336,*KITTEN 5
27839,A717193,KITTEN 1
27869,A742456,AQUARIUS 3
28133,A636287,636287*MISTLETOE
28160,A739166,KITTEN 2
28162,A739165,KITTEN 1
28255,A722593,BABY 3
28257,A722592,BABY 2
28259,A722598,BABY 8
28404,A695761,*CASPIAN 4
28413,A708881,KITTEN 1
28505,A727161,CAT 6
28509,A727158,CAT 3
28519,A639648,*639648 GRETCHEN
28916,A705220,KITTEN 1
28918,A702792,KITTEN 4
29142,A701865,*E CAT 3
29180,A503305,LADY 2
29352,A712406,PUPPY 2
29635,A702898,KITTEN 1
29680,A680823,POSSUM5
29681,A680821,POSSUM3
29703,A723733,BABY 2
29745,A741628,KITTEN 1
29921,A713558,MOLINA 3
30102,A691107,*PASADENA 2
30254,A744238,DUCK 4
30256,A744234,DUCK 1 (LATERAL)
30303,A740421,KITTEN 1
30396,A666954,PUPPY 5
30398,A666952,PUPPY 3
30400,A666953,PUPPY 4
30436,A677947,*GOLD STAR 2
30438,A677948,*GOLD STAR 3
30602,A612941,ROOSTER 1
30670,A721616,2
30671,A721618,4
30672,A721620,6
30891,A740845,KITTEN 2
30993,A611231,HOPPER 1
31007,A696415,POSSUM 2
31050,A695257,*MOUSE 4
31155,A672036,COLONY 3
31157,A661993,RING ST 3
31192,A679430,OPOSSUM5
31193,A679429,OPOSSUM4
31245,A743124,FASHION 1
31246,A743126,FASHION 3
31358,A710956,PUPPY 2
31401,A738542,OP 4
31402,A738544,OP 6
31533,A656232,ELLIS 2
31619,A741709,2
31634,A672597,BIRD 3
31660,A697420,BIRD4
31731,A715565,2
31732,A715564,1
31860,A698897,STRAY 2
31861,A698898,STRAY 3
31925,A733601,PUPPY2 GREEN
32056,A676470,KITTEN 4
32057,A676472,KITTEN 6
32058,A676468,KITTEN 2
32197,A676875,*DUCK5
32238,A696644,*BOBA BABY 5
32239,A696647,*BOBA BABY 8
32246,A740224,KITTEN 4
32247,A740225,KITTEN 5
32248,A740222,KITTEN 2
32285,A682295,*PUP 5
32286,A699721,STEVE 2
32287,A699720,STEVE 1
32298,A695433,*MOMMA FRANCES 3
32299,A695434,*MOMMA FRANCES 4
32300,A695769,*RUBY 2
32337,A634190,*K874 KITTEN
32490,A701920,KITTEN 2
32657,A695594,DUCK 6
32658,A695589,DUCK 1
32659,A695592,DUCK 4
32677,A716225,P8
32678,A716226,P9
32738,A500294,K-9
32754,A636063,636063*ELF
32822,A693025,*7-UP
33003,A744265,KITTEN4
33156,A467008,RAMBO 2
