animal_id,animal_name
A633222,A633222*PATCH
A637355,A637355
A684540,CHICKEN12
A684534,CHICKEN6
A684535,CHICKEN7
A684537,CHICKEN9
A684543,CHICKEN15
A738971,KITTEN 1
A694817,*KITTEN 1
A677434,LINDEN CAT 2
A727956,JOANNE 3
A632911,A632911*TALLY
A738430,KITTEN 2
A738431,KITTEN 3
A628123,628123
A634184,A634184*SNOWCAKE
A717195,KITTEN 3
A628227,A628227*BRIELL
A628231,A628231*AMBER
A628231,A628231*AMBER
A739168,KITTEN 4
A722595,BABY 5
A722599,BABY 9
A631703,A631703*BING CLAWSBY
A675989,*KKATLANTIC42
A655122,VILLA1001
A665837,KKATLANTIC1
A665842,KKATLANTIC6
A671589,*KKATLANTIC23
A665839,KKATLANTIC3
A673823,*KKATLANTIC36
A645958,A645958
A738750,OP BABY 2
A628330,628330
A673207,*BRAYTON 4
A727960,JOANNE 1
A699702,PUP 6
A398828,PEPPER #2
A740676,KITTEN 3
A649561,A649561*SAM
A694797,*SALINAS KITTEN 3
A694795,*SALINAS KITTEN 1
A694737,TWIN 2
A632055,A632055*PACE
A712295,PUPPY 5
A712294,PUPPY 4
A740834,KITTEN 4
A740841,KITTEN 1
A655477,A655477*GINGERSNAP
A651319,A651319
A723735,BABY 4
A741631,KITTEN 3
A645315,A645315
A697647,*TNR 7
A647363,A647363
A647364,A647364
A647365,A647365
A702215,*KIT1
A605816,BABY 2
A628228,A628228*LOU
A645902,A645902
A614776,A614776*DAYTON
A666950,PUPPY 1
A677946,*GOLD STAR 1
A645823,A645823
A738999,KITTEN 2
A739000,KITTEN 3
A628137,A628137*PARNASSUS
A628606,A628606
A740958,BIRD 1
A721619,5
A741719,KITTEN 2
A712497,PUPPY 2
A645451,A645451
A644293,DOG #2
A657048,A657048
A698100,STRAY B 4
A701860,*ATLANTIC CAT 2
A612433,CAT 4
A701856,*ORIZABA CAT 2
A701857,*MYRTLE CAT 1
A701853,*ORIZABA CAT 1
A680895,KTTN2
A712634,PUPPY1
A712636,PUPPY3
A712648,PUPPY9
A712641,PUPPY8
A628496,A628496*STACIA
A595105,TURTLE 3
A595106,TURTLE 4
A632328,A632328*BARBIE
A630970,A630970
A634391,A634391
A706470,GRAY KITTEN 2
A709047,*LILA'S KITTEN 3
A709046,*LILA'S KITTEN 2
A678543,*ORANGE 1
A695258,*MOUSE 5
A672037,COLONY 4
A672034,COLONY 1
A661991,RING ST 1
A627427,627427
A638575,A638575*TUXIE
A739568,KITTEN 3
A739569,KITTEN 4
A679432,OPOSSUM7
A679431,OPOSSUM6
A679428,OPOSSUM3
A679427,OPOSSUM2
A639105,A639105*MIGHTY MOUSE
A692735,*PUP 3
A692742,*PUP 7
A672131,*THING 1
A672132,*THING 2
A628882,A628882*TIANA
A699782,*BLK KITTEN 5
A699777,*BLK KITTEN 2
A699780,*BLK KITTEN 4
A736573,BABY 2
A710955,PUPPY 1
A699597,*MC3
A738541,OP 3
A638374,A638374 *CHEDDER
A630304,A630304
A635602,A635602*CAL
A739591,KITTEN 1
A741244,KITTEN 2
A741245,KITTEN 3
A653864,A653864*KOKO BELLE
A653896,A653896*KINGSTON
A699150,STRAY 2
A699151,STRAY 3
A699152,STRAY 4
A647035,BABY 4
A654157,A654157*KINSLEY
A654156,A654156*KEYLIME
A647033,BABY 2
A740004,KITTEN 1
A740006,KITTEN 3
A646142,A646142
A646818,A646818
A646821,A646821 *BLUEBERRY
A640683,A640683
A672724,FALCON 4
A645551,A645551
A639288,A639288
A635628,A635628
A650217,A650217*JETHRO
A661889,CHICKEN 3
A685014,*PALM 1
A685015,*PALM 2
A634582,A634582*CARAMEL
A635035,A635035*ICE
A657097,KAYLAH 1
A586280,M3
A637921,BABY CAT 3
A742378,STEARNS 6
A740376,BABY #3
A739543,KITTEN 1
A739545,KITTEN 3
A707026,PUPPY1
A722256,ESTER-4
A741238,KITTEN 6
A637415,A637415
A740858,OPOSSUM 11
A740854,OPOSSUM 7
A694813,*DESTINY KITTY 5
A655028,A655028*ELVIRA
A639031,A639031*ZEUS
A649852,A649852*MORTICIA
A670247,*WESLEY2
A646410,A646410
A646409,A646409
A741582,KITTEN 2
A635645,A635645*TIGER
A695651,*METZ 6
A708989,KTN2
A740494,KITTEN 2
A646937,A646937 *TOMATO
A652974,3
A652963,4
A652975,4
A652972,1
A652960,1
A740450,GRAY 1
A633803,A633803
A660012,BABY 6
A598994,KITTEN #1
A630732,A630732*LENORD
A633252,A633252*SHELIA
A632437,A632437*MOODY
A633420,A633420*SHAY
A629033,A629033*PATTY
A629673,A629673
A638112,A638112*MAC
A724322,BARN OWL 1
A724324,BARN OWL 3
A655496,A655496 IVY
A741595,KITTEN 7
A741596,KITTEN 8
A634218,A634218*TIGREA
A631483,A631483*LADY
A681736,KITTEN3
A681735,KITTEN2
A681734,KITTEN1
A741621,KITTEN 3
A632437,A632437*MOODY
A630627,A630627*EMM
A728290,MC 103
A740862,KITTEN 1
A740865,KITTEN 4
A629461,A629461*CATALINA
A627854,627854
A633225,A633225
A694422,KITTEN 3
A707043,KITTEN 1
A707045,KITTEN 3
A634148,*THING 30
A634129,*THING 12
A634117,*THING 4
A634134,*THING 16
A634140,*THING 22
A634152,*THING 23
A634122,*THING 8
A634141,*THING 24
A634144,*THING 27
A634115,*THING 3
A634151,*THING 33
A634146,*THING 28
A634125,*THING 11
A634135,*THING 17
A634137,*THING 19
A634121,*THING 7
A650109,A650109
A632613,A632613*SNACK
A632613,A632613*SNACK
A628547,A628547
A684532,CHICKEN4
A684547,CHICKEN19
A684544,CHICKEN16
A585517,*ROGUE 1
A701204,PINK7
A701205,PINK8
A701202,PINK5
A723321,*KITTEN5
A738432,KITTEN 4
A614776,A614776*DAYTON
A629186,A629186
A654796,A653896
A675990,*KKATLANTIC43
A665838,KKATLANTIC2
A665841,KKATLANTIC5
A665844,*KKATLANTIC8
A670259,*KKATLANTIC17
A670255,*KKATLANTIC14
A670260,*KKATLANTIC18
A671586,*KKATLANTIC20
A671588,*KKATLANTIC22
A740263,KITTEN 2
A740264,KITTEN 3
A740262,KITTEN 1
A740265,KITTEN 4
A673204,*BRAYTON 1
A673206,*BRAYTON 3
A673205,*BRAYTON 2
A699703,PUP 7
A680537,*CHICKEN 1
A742598,OLIVE 4
A631890,A631890*LILLIA
A697419,BIRD3
A697418,BIRD2
A742459,AQUARIUS 6
A742457,AQUARIUS 4
A742458,AQUARIUS 5
A715566,3
A715568,5
A715567,4
A628307,A628307*LARRY
A634590,A634590
A638349,A638349
A638447,A638447
A653773,KITTEN 2
A698899,STRAY 4
A636289,636289 *G.Q.
A733602,PUPPY3 ORANGE
A640021,A640021 *MORNING GLORY
A645178,A645178
A645179,A645179
A694329,702MAINE-1
A676471,KITTEN 5
A681645,*PARK 5
A633798,A633798*SHYSHY
A704444,P4
A704442,P2
A676872,*DUCK2
A676874,*DUCK4
A676873,*DUCK3
A740221,KITTEN 1
A668596,KITTEN 1
A668602,KITTEN 7
A698052,*LIME 4
A695776,*RUBY 7
A695770,*RUBY 3
A695774,*RUBY 5
A695771,*RUBY 4
A702620,TNR 601
A656995,A656995
A671920,MOUSE 2
A671919,MOUSE 1
A672368,*KITTEN 1
A698048,*LIME 1
A637060,A637060
A628153,628153
A630531,A630531*IYE
A635496,A635496*GREYA
A717146,DOA KITTEN 2
A727488,KERI 3
A637230,A637230
A695596,DUCK 8
A695593,DUCK 5
A716222,P5
A716218,P1
A636481,636481*POINSETTIA
A632123,A632123*BEN
A633165,A633165
A743552,1
A632472,A632472*24K
A695460,*SANDRA 3
A712411,PUPPY 6
A712404,PUPPY 1
A712409,PUPPY 4
A629933,A629933*PONZU
A628606,A628606
A744262,KITTEN1
A650517,A650517
A650472,A650472
A629987,A629987*GEE
A702899,KITTEN 2
A680819,POSSUM1
A680822,POSSUM4
A633918,A633918*CASKA
A698156,STRAY 1
A698159,STRAY 4
A649659,A649659*GRUU
A740422,KITTEN 2
A698453,PUPPY MALTESE1
A632613,A632613*SNACK
A638459,#3
A638460,#4
A638457,#6
A638462,#8
A638461,#7
A638454,#5
A701199,PINK2
A701200,PINK3
A711770,CHERRY-6
A638565,A638565*FEBRUARY
A736798,STRAY 1
A738973,KITTEN 3
A741676,KITTEN 1
A643465,A643465
A644290,DOG #1 JASPER
A680538,*CHICKEN 2
A628622,A628622
A629178,A629178*LORALIE
A673336,*KITTEN 5
A717193,KITTEN 1
A742456,AQUARIUS 3
A650392,A650392 *COOKIE
A628224,A628224*STONE
A638447,A638447
A632184,A632184*DAISY
A636287,636287*MISTLETOE
A739166,KITTEN 2
A739165,KITTEN 1
A722593,BABY 3
A722592,BABY 2
A722598,BABY 8
A630157,A630157*LUCAS
A650229,A650229
A635035,A635035*ICE
A646052,A646052
A646083,A646083
A695761,*CASPIAN 4
A708881,KITTEN 1
A727161,CAT 6
A727158,CAT 3
A639648,*639648 GRETCHEN
A648099,A648099 *CAMILLA
A649561,A649561*SAM
A705220,KITTEN 1
A702792,KITTEN 4
A701865,*E CAT 3
A503305,LADY 2
A649819,A649819
A656846,A656846
A635891,A635891*MAGPIE
A712406,PUPPY 2
A629934,A629934*MISO
A702898,KITTEN 1
A647934,A647934 UNKNOWN
A680823,POSSUM5
A680821,POSSUM3
A723733,BABY 2
A628139,A628139*SADIE
A741628,KITTEN 1
A628870,A628870
A653155,A653155 *MOMMA
A653156,A653156*MINDY
A713558,MOLINA 3
A636620,A636620*DANCER
A635265,A635265*DICE
A691107,*PASADENA 2
A744238,DUCK 4
A744234,DUCK 1 (LATERAL)
A628583,A628583*NED
A649659,A649659*GRUU
A740421,KITTEN 1
A632911,A632911*TALLY
A631934,A631934*DOLL
A666954,PUPPY 5
A666952,PUPPY 3
A666953,PUPPY 4
A677947,*GOLD STAR 2
A677948,*GOLD STAR 3
A626954,A626954*BETHANY
A645822,A645822
A639477,A639477 *WILD-E
A649285,A649285
A650566,A650566
A612941,ROOSTER 1
A721616,2
A721618,4
A721620,6
A645055,A645055
A650599,A650599
A629328,A629328*CREAMER
A628766,A628766
A640103,A640103
A740845,KITTEN 2
A650169,A650169
A611231,HOPPER 1
A696415,POSSUM 2
A695257,*MOUSE 4
A649748,A649748 *DICE
A646431,A646431
A672036,COLONY 3
A661993,RING ST 3
A679430,OPOSSUM5
A679429,OPOSSUM4
A743124,FASHION 1
A743126,FASHION 3
A644441,A644441
A710956,PUPPY 2
A738542,OP 4
A738544,OP 6
A635249,A635249
A639198,A639198
A656232,ELLIS 2
A741709,2
A672597,BIRD 3
A697420,BIRD4
A640762,A640762
A715565,2
A715564,1
A698897,STRAY 2
A698898,STRAY 3
A630100,A630100*SHILO
A733601,PUPPY2 GREEN
A676470,KITTEN 4
A676472,KITTEN 6
A676468,KITTEN 2
A676875,*DUCK5
A696644,*BOBA BABY 5
A696647,*BOBA BABY 8
A740224,KITTEN 4
A740225,KITTEN 5
A740222,KITTEN 2
A682295,*PUP 5
A699721,STEVE 2
A699720,STEVE 1
A695433,*MOMMA FRANCES 3
A695434,*MOMMA FRANCES 4
A695769,*RUBY 2
A633586,A633586*NASH
A634190,*K874 KITTEN
A641364,A641364
A641365,A641365
A701920,KITTEN 2
A695594,DUCK 6
A695589,DUCK 1
A695592,DUCK 4
A716225,P8
A716226,P9
A500294,K-9
A636063,636063*ELF
A693025,*7-UP
A744265,KITTEN4
A467008,RAMBO 2
